fpr,tpr
0.00000,0.00083
0.00000,0.00166
0.00000,0.00249
0.00007,0.00249
0.00014,0.00249
0.00014,0.00332
0.00014,0.00415
0.00014,0.00498
0.00014,0.00581
0.00014,0.00664
0.00014,0.00748
0.00014,0.00831
0.00014,0.00914
0.00014,0.00997
0.00014,0.01080
0.00014,0.01163
0.00014,0.01246
0.00014,0.01329
0.00014,0.01412
0.00014,0.01495
0.00014,0.01578
0.00014,0.01661
0.00014,0.01744
0.00014,0.01827
0.00014,0.01910
0.00014,0.01993
0.00014,0.02076
0.00014,0.02159
0.00020,0.02159
0.00020,0.02243
0.00027,0.02243
0.00034,0.02243
0.00034,0.02326
0.00034,0.02409
0.00034,0.02492
0.00034,0.02575
0.00034,0.02658
0.00034,0.02741
0.00034,0.02824
0.00034,0.02907
0.00034,0.02990
0.00034,0.03073
0.00034,0.03156
0.00034,0.03239
0.00034,0.03322
0.00041,0.03322
0.00048,0.03322
0.00048,0.03405
0.00048,0.03488
0.00048,0.03571
0.00048,0.03654
0.00048,0.03738
0.00048,0.03821
0.00055,0.03821
0.00055,0.03904
0.00055,0.03987
0.00055,0.04070
0.00055,0.04153
0.00055,0.04236
0.00055,0.04319
0.00055,0.04402
0.00055,0.04485
0.00055,0.04568
0.00055,0.04651
0.00055,0.04734
0.00055,0.04817
0.00061,0.04817
0.00068,0.04817
0.00068,0.04900
0.00068,0.04983
0.00068,0.05066
0.00068,0.05150
0.00068,0.05233
0.00068,0.05316
0.00068,0.05399
0.00068,0.05482
0.00068,0.05565
0.00068,0.05648
0.00068,0.05731
0.00068,0.05814
0.00068,0.05897
0.00068,0.05980
0.00068,0.06063
0.00068,0.06146
0.00068,0.06229
0.00068,0.06312
0.00068,0.06395
0.00075,0.06395
0.00082,0.06395
0.00082,0.06478
0.00082,0.06561
0.00082,0.06645
0.00082,0.06728
0.00082,0.06811
0.00082,0.06894
0.00082,0.06977
0.00082,0.07060
0.00082,0.07143
0.00082,0.07226
0.00082,0.07309
0.00082,0.07392
0.00082,0.07475
0.00082,0.07558
0.00082,0.07641
0.00082,0.07724
